product name,url,image url,price,mrp,discount,brand
Runesy M Running Shoes For Men,https://fkrt.cc/hXNOx2I,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/z/a/h/-original-imahffabz8zgv29b.jpeg?q=70,1548,4299,63%,Flipkart BBD Sale
GEL-CUMULUS 26 Running Shoes For Men,https://fkrt.cc/hBSrrfC,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/t/v/4/-original-imahgbryt6nbuu6s.jpeg?q=70,4730,10999,56%,Flipkart BBD Sale
FTR Xtraflow IDP Running Shoes For Men,https://fkrt.cc/hMYbvZn,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/l/f/u/-original-imahgbryuvhbzvsg.jpeg?q=70,1870,5499,65%,Flipkart BBD Sale
Base A M Running Shoes For Men,https://fkrt.cc/hnGmYXz,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/b/5/2/-original-imahg3u4yz8zsw4g.jpeg?q=70,1442,3999,63%,Flipkart BBD Sale
ONYXD Running Shoes For Men,https://fkrt.cc/huVi5T9,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/5/e/s/-original-imahgctgbfwzhffm.jpeg?q=70,1360,3999,65%,Flipkart BBD Sale
Rungryp Running Shoes For Men,https://fkrt.cc/hCjKuAs,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/z/e/m/-original-imahgbrszty5yrhy.jpeg?q=70,1599,4999,68%,Flipkart BBD Sale
GEL-KAYANO 31 Running Shoes For Men,https://fkrt.cc/hOFst8A,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/l/v/q/-original-imahfvvsjsmsghq2.jpeg?q=70,6880,15999,56%,Flipkart BBD Sale
Supreme Comfort Running Shoes For Men,https://fkrt.cc/hEp5JWr,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/q/s/x/-original-imahg2t7utr5mg7w.jpeg?q=70,1230,2999,58%,Flipkart BBD Sale
Bridge Comfort Running Shoes For Men,https://fkrt.cc/hiKRiKn,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/l/p/z/-original-imahgcsu4bbm8ee8.jpeg?q=70,1215,2499,51%,Flipkart BBD Sale
Electron E Running Shoes For Men,https://fkrt.cc/hmxc3Ep,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/x/d/6/-original-imahgcs9pgkd7db9.jpeg?q=70,1650,4999,66%,Flipkart BBD Sale
