product name,url,Price,image url
Printed Hand Batik Cotton Silk Saree,https://www.flipkart.com/aa-one-enterprise-printed-hand-batik-cotton-silk-saree/p/itm5e2ce7f14106e?pid=SARH59MPECVH7Q8T&lid=LSTSARH59MPECVH7Q8TVIU3BY&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_21&otracker=browse&fm=organic&iid=en_84XUpeL8m9I5GuOWxGBjQNt76Ur5WN79io2lwAMbrHs6mvw5iM_k6VpRQTNuBbQOjSbh6QKW0aLURKVUxJRWdw%3D%3D&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 732,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/z/n/h/free-kiara-03-j6-designers-unstitched-original-imahaq4zm7dah2hb.jpeg?q=70
Embroidered Bollywood Net Saree,https://www.flipkart.com/vallavi-fashion-embroidered-bollywood-net-saree/p/itm46fe005a2198e?pid=SARGK3H3CGVZHZAF&lid=LSTSARGK3H3CGVZHZAFNHMGDN&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_22&otracker=browse&fm=organic&iid=en_84XUpeL8m9I5GuOWxGBjQNt76Ur5WN79io2lwAMbrHvWsGN05dPMT8jDII_ndry_8dxBqRzt919UA9c1wHP18A%3D%3D&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 426,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/k/n/z/free-mt-02-vallavi-fashion-unstitched-original-imagk3h35pvnad5z.jpeg?q=70
Printed Daily Wear Georgette Saree,https://www.flipkart.com/nerta-boutique-printed-daily-wear-georgette-saree/p/itm42a43305b2c4e?pid=SARGJZRG4GKHAY79&lid=LSTSARGJZRG4GKHAY79ELLQHH&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_23&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARGJZRG4GKHAY79.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 495,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/k/w/0/free-jambu-nerta-boutique-unstitched-original-imahedez4psjwurh.jpeg?q=70
Printed Bandhani Georgette Saree,https://www.flipkart.com/georgette-printed-bandhani-saree/p/itm663ae03219e02?pid=SARHDFKQURWARZGK&lid=LSTSARHDFKQURWARZGK9WUDAR&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_24&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARHDFKQURWARZGK.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 475,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/3/6/3/free-ganga-a-green-georgette-unstitched-original-imahdfkqcgmdfxcw.jpeg?q=70
Striped Tant Pure Cotton Saree,https://www.flipkart.com/maasaree-striped-tant-pure-cotton-saree/p/itmfbb44ecff5767?pid=SARGUYYPHFVCBJD4&lid=LSTSARGUYYPHFVCBJD4GR39QQ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_25&otracker=browse&fm=organic&iid=en_84XUpeL8m9I5GuOWxGBjQNt76Ur5WN79io2lwAMbrHuFjiXeYOfShl7XnLmPQvvpjQsW8QW3Ine9XfzBh-DKyA%3D%3D&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 414,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/j/y/f/free-dqwerq-maasaree-no-blouse-original-imah6cjyvvjmatf2.jpeg?q=70
"Printed Kanjivaram Georgette, Silk Blend Saree",https://www.flipkart.com/jihana-fab-printed-kanjivaram-georgette-silk-blend-saree/p/itmcf5d2d1213a87?pid=SARH6K4FRMBBZU9B&lid=LSTSARH6K4FRMBBZU9BP86FHI&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_26&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARH6K4FRMBBZU9B.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 299,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/i/2/i/free-turky-flower-patta-wine33-jihana-fab-unstitched-original-imah6k4fvk6atr9q.jpeg?q=70
Embroidered Banarasi Satin Saree,https://www.flipkart.com/kalapushpi-embroidered-banarasi-satin-saree/p/itme60adcefd4e85?pid=SARGZ83JFXYAJU2K&lid=LSTSARGZ83JFXYAJU2KOMIG01&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_27&otracker=browse&fm=organic&iid=en_84XUpeL8m9I5GuOWxGBjQNt76Ur5WN79io2lwAMbrHt_KvYUTNBU_hJYxayI-1VG0FGaDbHrLqYBwfmw57JYMw%3D%3D&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 463,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/p/y/6/free-banarasi-saree-kalapushpi-unstitched-original-imah8bbzudqerchz.jpeg?q=70
"Printed Bollywood Georgette, Silk Blend Saree",https://www.flipkart.com/jihana-fab-printed-bollywood-georgette-silk-blend-saree/p/itm491aee3e12c6d?pid=SARH2W5SGWTDN2SD&lid=LSTSARH2W5SGWTDN2SDX4W1XB&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_28&otracker=browse&fm=organic&iid=en_84XUpeL8m9I5GuOWxGBjQNt76Ur5WN79io2lwAMbrHu8mvcZRaPOAxuhfRiV3qTNSWNJYNWAYR4twvNjvUIBuw%3D%3D&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 297,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/3/j/p/free-turky-box-pink-house-house-of-common-unstitched-original-imah3zye2uvh3dhr.jpeg?q=70
Embellished Bollywood Chiffon Saree,https://www.flipkart.com/jagrul-jm-embellished-bollywood-chiffon-saree/p/itmdf0d9f4232b35?pid=SARHCYY7B8AWWHEE&lid=LSTSARHCYY7B8AWWHEESLMYEF&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_29&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARHCYY7B8AWWHEE.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 399,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/o/z/o/free-rangoli-jagrul-jm-unstitched-original-imahczff7bmzpubk.jpeg?q=70
Self Design Bollywood Organza Saree,https://www.flipkart.com/prisha-self-design-bollywood-organza-saree/p/itm69c4322b8d88d?pid=SARHCZA5FRN7KYMT&lid=LSTSARHCZA5FRN7KYMT2I1S52&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_30&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARHCZA5FRN7KYMT.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 485,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/f/q/b/free-9-patti-prisha-unstitched-original-imahcza5f9xveuwt.jpeg?q=70
Floral Print Bollywood Lycra Blend Saree,https://www.flipkart.com/akfabrics-floral-print-bollywood-lycra-blend-saree/p/itme967346b42ebe?pid=SARGXVCZTYNTZRKK&lid=LSTSARGXVCZTYNTZRKKZHTLIL&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_31&otracker=browse&fm=organic&iid=en_84XUpeL8m9I5GuOWxGBjQNt76Ur5WN79io2lwAMbrHtvCCQ0CQrn3ml2SujrtTR0-yiiWO8_zBmwBmIJFjQkHA%3D%3D&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 290,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/x/4/e/free-embos-lorofy-unstitched-original-imahyhjzkmyzyvtf.jpeg?q=70
Woven Tant Pure Cotton Saree,https://www.flipkart.com/exclusive-fashion-mart-woven-tant-pure-cotton-saree/p/itm91aedc0840338?pid=SARGT45GSDUDPPHT&lid=LSTSARGT45GSDUDPPHTYQB52I&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_32&otracker=browse&fm=organic&iid=en_84XUpeL8m9I5GuOWxGBjQNt76Ur5WN79io2lwAMbrHuDRAESZVE49-s1GSisJVq8MsU65ivljDs_PRE4brJC2A%3D%3D&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 448,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/o/e/e/free-lllll-exclusive-fashion-mart-no-blouse-original-imagt45gbqwfnn3w.jpeg?q=70
Self Design Bollywood Art Silk Saree,https://www.flipkart.com/aarunika-sbt-self-design-bollywood-art-silk-saree/p/itmd41ffaf4028ad?pid=SARHDYYCZKGS9UHJ&lid=LSTSARHDYYCZKGS9UHJNGXEFJ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_33&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARHDYYCZKGS9UHJ.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 699,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/n/s/s/free-tanishq-green-in-b5-aarunika-sbt-unstitched-original-imahdxzsjs8fkpjz.jpeg?q=70
Embellished Daily Wear Art Silk Saree,https://www.flipkart.com/hesika-embellished-daily-wear-art-silk-saree/p/itme5c566a318b3e?pid=SARGFYBX596UPJPY&lid=LSTSARGFYBX596UPJPYURVF2D&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_34&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARGFYBX596UPJPY.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 442,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/v/9/w/free-orgenja-hesika-no-blouse-original-imah34syhyqzemhs.jpeg?q=70
"Solid/Plain Bollywood Satin, Silk Blend Saree",https://www.flipkart.com/pd-cloth-villa-solid-plain-bollywood-satin-silk-blend-saree/p/itm1fef90911f0f0?pid=SARGYCJTVG2DPWUS&lid=LSTSARGYCJTVG2DPWUSNSAGO8&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_35&otracker=browse&fm=organic&iid=en_84XUpeL8m9I5GuOWxGBjQNt76Ur5WN79io2lwAMbrHtqsB95HaxlKc0Z3SdmlHfEYgv4t2tOPcSE8phDMUvpnw%3D%3D&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 488,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/i/s/i/free-satin-half-half-saree-pd-cloth-villa-unstitched-original-imagybfrvmztwdnz.jpeg?q=70
Embroidered Bollywood Georgette Saree,https://www.flipkart.com/k-5-fashion-embroidered-bollywood-georgette-saree/p/itm5af3029c5e405?pid=SARH4GZWAFW7YDKK&lid=LSTSARH4GZWAFW7YDKK4LGDUW&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_36&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARH4GZWAFW7YDKK.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 417,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/1/n/a/free-anisha-k-5-fashion-unstitched-original-imah4gzueq3akevp.jpeg?q=70
Embroidered Kanjivaram Silk Blend Saree,https://www.flipkart.com/fab-silk-embroidered-kanjivaram-blend-saree/p/itm0790a6473225a?pid=SARGDE3Y8GGY9CDG&lid=LSTSARGDE3Y8GGY9CDGLSPMJW&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_37&otracker=browse&fm=organic&iid=en_84XUpeL8m9I5GuOWxGBjQNt76Ur5WN79io2lwAMbrHt5zc4UFNC-3sFdEoGutPy3Pa5WQAQSMU26trZ4gF3ibQ%3D%3D&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 498,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/f/3/o/free-mrpthn-gold-maroon-fab-silk-unstitched-original-imagwvecdcphrhhe.jpeg?q=70
"Embellished Bollywood Tissue, Silk Blend Saree",https://www.flipkart.com/lorofy-embellished-bollywood-tissue-silk-blend-saree/p/itm1ccd23e007004?pid=SARHBQVQG9SMHXAX&lid=LSTSARHBQVQG9SMHXAXY2O9IC&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_38&otracker=browse&fm=organic&iid=en_84XUpeL8m9I5GuOWxGBjQNt76Ur5WN79io2lwAMbrHtyWoOQNWm79Y7sXQompuluFZP2IYU98UswvxKl_qvKIw%3D%3D&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 773,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/8/y/t/free-2tone-1-0-lorofy-unstitched-original-imahdqw5kxwx6xag.jpeg?q=70
