product name,url,image url,price,mrp,discount
Girls Festive & Party Wedding Casual Formal Kurta Pyjama & Dupatta Set,https://www.flipkart.com/barkatdesigningplanet-girls-festive-party-wedding-casual-formal-kurta-pyjama-dupatta-set/p/itm88da31519e7db?pid=KETHD652ADRZZFXY&lid=LSTKETHD652ADRZZFXYNN9C9Q&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_21&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=en_EOW1D5Dcrw6Bu3rzxBEfYwOBRuojbpx7zMVHLiuv9fTlRch4xmBKEwdOBpR15rx46oql55zhrgMN_vbsK97L0Q%3D%3D&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-ethnic-set/b/2/w/8-9-years-salwar-suit-barkatdesigningplanet-original-imahd652qta8tfhb.jpeg?q=70,489,1499,67%
Men Cotton Blend Kurta Pyjama Set,https://www.flipkart.com/artisan-men-kurta-pyjama-set/p/itm663625ab24f2f?pid=ETHGVC534DFJQ4ZD&lid=LSTETHGVC534DFJQ4ZDJVOKSV&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_22&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=en_EOW1D5Dcrw6Bu3rzxBEfYwOBRuojbpx7zMVHLiuv9fRlGUwxcMWwD5B33tH9hsX_kFw9GDNnacvXaJEl9lM_hg%3D%3D&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/a/j/q/m-sh-02-m-artisan-original-imagvc53tgwhbwyp.jpeg?q=70,411,1599,74%
SOFIA xl Self Design Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-self-design-kurta-trouser-pant-dupatta-set/p/itm8c5278357cd58?pid=SWDH5PZNVGWYYDKG&lid=LSTSWDH5PZNVGWYYDKGWPLKD9&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_23&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDH5PZNVGWYYDKG.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/p/g/g/m-sofia-women-embroidered-printed-kurta-set-x-glam-original-imah4zg8p27ab382.jpeg?q=70,1570,3999,60%
SOFIA s Self Design Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-self-design-kurta-trouser-pant-dupatta-set/p/itm59fd48577bc47?pid=SWDH5PZNXVZNWY5S&lid=LSTSWDH5PZNXVZNWY5SEFXAWY&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_24&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDH5PZNXVZNWY5S.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/p/g/g/m-sofia-women-embroidered-printed-kurta-set-x-glam-original-imah4zg8p27ab382.jpeg?q=70,1570,3999,60%
Men Cotton Blend Kurta Pyjama Set,https://www.flipkart.com/lyplo-men-kurta-pyjama-set/p/itm42401c8dee5da?pid=ETHGR8WCEFRXT29T&lid=LSTETHGR8WCEFRXT29TE9ZYOA&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_25&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=en_EOW1D5Dcrw6Bu3rzxBEfYwOBRuojbpx7zMVHLiuv9fS4rW5qNfWjeT0Faf6A41z3rXsM4a_3d2Njbl-0JxJPTA%3D%3D&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/8/n/v/l-sl-navy-blue-lyplo-original-imahfeffuzyjztha.jpeg?q=70,378,1599,76%
VIDYA m Embroidered Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-embroidered-kurta-trouser-pant-dupatta-set/p/itm13a88b12b1727?pid=SWDH5R38FDJBBKGY&lid=LSTSWDH5R38FDJBBKGYJGPZBD&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_26&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDH5R38FDJBBKGY.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-salwar-kurta-dupatta/8/h/t/s-vidhya-sareekart-original-imagwacrxuhd2suh.jpeg?q=70,1570,3999,60%
Men Pure Silk Kurta Pyjama Set,https://www.flipkart.com/tibra-collection-men-kurta-pyjama-set/p/itmce9b8a061e382?pid=ETHG3N85HJZHSGZA&lid=LSTETHG3N85HJZHSGZASYB6DN&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_27&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=en_EOW1D5Dcrw6Bu3rzxBEfYwOBRuojbpx7zMVHLiuv9fTJeQbG1vtre8PMrvCQoSTVXYwTWdxS0jcWMQEJEP0nXg%3D%3D&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/v/i/p/40-30-tibra-collection-original-imagywchj7hvfy89.jpeg?q=70,445,3299,86%
Men Cotton Blend Kurta Pyjama Set,https://www.flipkart.com/tibra-collection-men-kurta-pyjama-set/p/itme3cd9322956ae?pid=ETHGUF5ZSHZCYWQP&lid=LSTETHGUF5ZSHZCYWQPOAWLVR&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_28&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=en_EOW1D5Dcrw6Bu3rzxBEfYwOBRuojbpx7zMVHLiuv9fTVzRlh_ujFjS_dYlhWbRj7RFNFJdKrdgfvjwr7ZrRdrw%3D%3D&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/x/v/d/l-7900-tibra-collection-original-imah4yyzz4ceuerv.jpeg?q=70,395,1999,80%
SOFIA m Self Design Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-self-design-kurta-trouser-pant-dupatta-set/p/itma0d032af09af6?pid=SWDH5PZNUP6AFM7E&lid=LSTSWDH5PZNUP6AFM7EPT3OKS&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_29&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDH5PZNUP6AFM7E.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/p/g/g/m-sofia-women-embroidered-printed-kurta-set-x-glam-original-imah4zg8p27ab382.jpeg?q=70,1570,3999,60%
ANJANI MAROON XL Embroidered Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-embroidered-kurta-trouser-pant-dupatta-set/p/itm951e116c99c70?pid=SWDH9UXJH8RPBE5Z&lid=LSTSWDH9UXJH8RPBE5ZA8L4KF&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_30&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDH9UXJH8RPBE5Z.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/e/5/7/xxl-anjani-women-embroidered-kurta-set-with-dupatta-x-glam-original-imah7hu6amvszfhv.jpeg?q=70,1498,2999,50%
Men Polyester Shirt Pant Set,https://www.flipkart.com/combraided-men-shirt-pant-set/p/itm358348e6b5987?pid=ETHGUWFDMT6CXVRD&lid=LSTETHGUWFDMT6CXVRDGEHLVQ&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_31&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=en_EOW1D5Dcrw6Bu3rzxBEfYwOBRuojbpx7zMVHLiuv9fRDS5PBMbLGLIf-DgmraO3ROjIBeMGMOO8saiJrFl_JKQ%3D%3D&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/e/h/c/xl-pair-tr7-312-combraided-original-imaguwf4wnzgkfyv.jpeg?q=70,427,1999,78%
Boys Festive & Party Formal Wedding Shirt Waistcoat and Pant Set,https://www.flipkart.com/paryushnam-boys-festive-party-formal-wedding-shirt-waistcoat-pant-set/p/itma8d257dd9fc07?pid=KETH43B4SGQ4SJHF&lid=LSTKETH43B4SGQ4SJHFS6ATQ4&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_32&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=en_EOW1D5Dcrw6Bu3rzxBEfYwOBRuojbpx7zMVHLiuv9fSeVqo8NOdNwzvIU_Nn9dMegVmyVADQhYgYKeh-if4-Jg%3D%3D&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-ethnic-set/r/n/h/1-2-years-black-p-paryushnam-original-imah9zfmahjhhtth.jpeg?q=70,498,1999,75%
VI-RUBY-MINT GREEN_xl Embroidered Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-embroidered-kurta-trouser-pant-dupatta-set/p/itm817bde0a1e46e?pid=SWDHDMW6SZNQQNW7&lid=LSTSWDHDMW6SZNQQNW7DABNIF&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_33&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDHDMW6SZNQQNW7.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/salwar-kurta-dupatta/m/4/n/xxl-pista-dokhona-original-imah8pyg7ffstcdd.jpeg?q=70,1320,2876,54%
LEELA mnm Embroidered Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-embroidered-kurta-trouser-pant-dupatta-set/p/itm569856ac44efd?pid=SWDH5GJVYVPXCYX3&lid=LSTSWDH5GJVYVPXCYX3DDM7TG&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_34&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDH5GJVYVPXCYX3.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/salwar-kurta-dupatta/n/j/s/l-leela-svd-jnnatfashion-original-imahbm8nacefbz4x.jpeg?q=70,1262,3999,68%
